"name","region","country","date","Value"
Death Cases,Sub-Saharan Africa,Madagascar,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Luxembourg,2021-03-01 00:00:00,2.0000
Death Cases,Europe & Central Asia,Lithuania,2021-03-01 00:00:00,9.0000
Death Cases,Europe & Central Asia,Liechtenstein,2021-03-01 00:00:00,0.0000
Death Cases,Middle East & North Africa,Libya,2021-03-01 00:00:00,31.0000
Death Cases,Sub-Saharan Africa,Liberia,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Lesotho,2021-03-01 00:00:00,3.0000
Death Cases,Middle East & North Africa,Lebanon,2021-03-01 00:00:00,51.0000
Death Cases,Europe & Central Asia,Latvia,2021-03-01 00:00:00,3.0000
Death Cases,East Asia & Pacific,Laos,2021-03-01 00:00:00,0.0000
Death Cases,East Asia & Pacific,Kyrgyzstan,2021-03-01 00:00:00,1.0000
Death Cases,Middle East & North Africa,Kuwait,2021-03-01 00:00:00,2.0000
Death Cases,Europe & Central Asia,Kosovo,2021-03-01 00:00:00,0.0000
Death Cases,East Asia & Pacific,"Korea, South",2021-03-01 00:00:00,1.0000
Death Cases,Sub-Saharan Africa,Kenya,2021-03-01 00:00:00,3.0000
Death Cases,Europe & Central Asia,Kazakhstan,2021-03-01 00:00:00,6.0000
Death Cases,Middle East & North Africa,Jordan,2021-03-01 00:00:00,26.0000
Death Cases,East Asia & Pacific,Japan,2021-03-01 00:00:00,51.0000
Death Cases,Latin America & The Caribbean,Bolivia,2021-03-01 00:00:00,17.0000
Death Cases,South Asia,Bhutan,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Benin,2021-03-01 00:00:00,0.0000
Death Cases,Latin America & The Caribbean,Belize,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Belgium,2021-03-01 00:00:00,29.0000
Death Cases,Europe & Central Asia,Belarus,2021-03-01 00:00:00,9.0000
Death Cases,Latin America & The Caribbean,Barbados,2021-03-01 00:00:00,3.0000
Death Cases,South Asia,Bangladesh,2021-03-01 00:00:00,8.0000
Death Cases,Middle East & North Africa,Bahrain,2021-03-01 00:00:00,3.0000
Death Cases,Latin America & The Caribbean,Bahamas,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Azerbaijan,2021-03-01 00:00:00,3.0000
Death Cases,Europe & Central Asia,Austria,2021-03-01 00:00:00,13.0000
Death Cases,East Asia & Pacific,Australia,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Armenia,2021-03-01 00:00:00,3.0000
Death Cases,Latin America & The Caribbean,Argentina,2021-03-01 00:00:00,112.0000
Death Cases,Latin America & The Caribbean,Antigua and Barbuda,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Angola,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Andorra,2021-03-01 00:00:00,0.0000
Death Cases,Middle East & North Africa,Algeria,2021-03-01 00:00:00,4.0000
Death Cases,Europe & Central Asia,Albania,2021-03-01 00:00:00,20.0000
Death Cases,South Asia,Afghanistan,2021-03-01 00:00:00,1.0000
Confirmed Cases,Europe & Central Asia,Latvia,2021-03-01 00:00:00,272.0000
Confirmed Cases,Middle East & North Africa,Lebanon,2021-03-01 00:00:00,1888.0000
Confirmed Cases,Sub-Saharan Africa,Lesotho,2021-03-01 00:00:00,4.0000
Confirmed Cases,Sub-Saharan Africa,Liberia,2021-03-01 00:00:00,0.0000
Confirmed Cases,Middle East & North Africa,Libya,2021-03-01 00:00:00,789.0000
Confirmed Cases,Europe & Central Asia,Liechtenstein,2021-03-01 00:00:00,8.0000
Confirmed Cases,Europe & Central Asia,Lithuania,2021-03-01 00:00:00,253.0000
Confirmed Cases,Europe & Central Asia,Luxembourg,2021-03-01 00:00:00,370.0000
Confirmed Cases,Sub-Saharan Africa,Madagascar,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Malawi,2021-03-01 00:00:00,63.0000
Confirmed Cases,East Asia & Pacific,Malaysia,2021-03-01 00:00:00,1828.0000
Confirmed Cases,South Asia,Maldives,2021-03-01 00:00:00,186.0000
Confirmed Cases,Sub-Saharan Africa,Mali,2021-03-01 00:00:00,14.0000
Confirmed Cases,Middle East & North Africa,Malta,2021-03-01 00:00:00,175.0000
Confirmed Cases,East Asia & Pacific,Marshall Islands,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Mauritania,2021-03-01 00:00:00,10.0000
Confirmed Cases,Sub-Saharan Africa,Mauritius,2021-03-01 00:00:00,9.0000
Confirmed Cases,Latin America & The Caribbean,Mexico,2021-03-01 00:00:00,2343.0000
Confirmed Cases,East Asia & Pacific,Micronesia,2021-03-01 00:00:00,0.0000
Confirmed Cases,Europe & Central Asia,Moldova,2021-03-01 00:00:00,994.0000
Confirmed Cases,Europe & Central Asia,Monaco,2021-03-01 00:00:00,9.0000
Confirmed Cases,East Asia & Pacific,Mongolia,2021-03-01 00:00:00,48.0000
Confirmed Cases,Europe & Central Asia,Montenegro,2021-03-01 00:00:00,449.0000
Confirmed Cases,Middle East & North Africa,Morocco,2021-03-01 00:00:00,112.0000
Confirmed Cases,Sub-Saharan Africa,Mozambique,2021-03-01 00:00:00,257.0000
Confirmed Cases,Sub-Saharan Africa,Namibia,2021-03-01 00:00:00,188.0000
Confirmed Cases,South Asia,Nepal,2021-03-01 00:00:00,73.0000
